name;ID;country;province;prefecture/city ;county;latitude;longitude;date;host
GQ260623_swine_Taiwan_2007;GQ260623;Taiwan;NA;NA;NA;NA;NA;2007;swine
GQ260624_swine_Taiwan_2007;GQ260624;Taiwan;NA;NA;NA;NA;NA;2007;swine
GQ260625_mosquito_Taiwan_2007;GQ260625;Taiwan;NA;NA;NA;NA;NA;2007;mosquito
GQ260626_mosquito_Taiwan_2007;GQ260626;Taiwan;NA;NA;NA;NA;NA;2007;mosquito
GQ260627_mosquito_Taiwan_2007;GQ260627;Taiwan;NA;NA;NA;NA;NA;2007;mosquito
GQ260628_mosquito_Taiwan_2008;GQ260628;Taiwan;NA;NA;NA;NA;NA;2008;mosquito
GQ260629_mosquito_Taiwan_2008;GQ260629;Taiwan;NA;NA;NA;NA;NA;2008;mosquito
GQ260630_mosquito_Taiwan_2008;GQ260630;Taiwan;NA;NA;NA;NA;NA;2008;mosquito
GQ260631_mosquito_Taiwan_2008;GQ260631;Taiwan;NA;NA;NA;NA;NA;2008;mosquito
GQ260632_swine_Taiwan_2008;GQ260632;Taiwan;NA;NA;NA;NA;NA;2008;swine
GQ260633_mosquito_Taiwan_2008;GQ260633;Taiwan;NA;NA;NA;NA;NA;2008;mosquito
GQ260634_mosquito_Taiwan_2008;GQ260634;Taiwan;NA;NA;NA;NA;NA;2008;mosquito
GQ260635_mosquito_Taiwan_2008;GQ260635;Taiwan;NA;NA;NA;NA;NA;2008;mosquito
GQ336809_swine_Henan_2009;GQ336809;Henan;NA;NA;NA;NA;NA;2009;swine
GQ387646_horse_India_2009;GQ387646;India;NA;NA;NA;NA;NA;2009;horse
GQ415347_mosquito_South_Korea_1982;GQ415347;South Korea;NA;NA;NA;NA;NA;1982;mosquito
GQ415349_mosquito_South_Korea_1984;GQ415349;South Korea;NA;NA;NA;NA;NA;1984;mosquito
GQ415350_mosquito_South_Korea_1985;GQ415350;South Korea;NA;NA;NA;NA;NA;1985;mosquito
GQ415351_mosquito_South_Korea_1986;GQ415351;South Korea;NA;NA;NA;NA;NA;1986;mosquito
GQ415352_mosquito_South_Korea_1987;GQ415352;South Korea;NA;NA;NA;NA;NA;1987;mosquito
GQ415353_mosquito_South_Korea_1988;GQ415353;South Korea;NA;NA;NA;NA;NA;1988;mosquito
GQ415354_mosquito_South_Korea_1989;GQ415354;South Korea;NA;NA;NA;NA;NA;1989;mosquito
GQ415356_human_South_Korea_1949;GQ415356;South Korea;NA;NA;NA;NA;NA;1949;human
GQ495004_swine_Heilongjiang_2008;GQ495004;mainland China;Heilongjiang;NA;NA;NA;NA;2008;swine
GQ495005_swine_Heilongjiang_2008;GQ495005;mainland China;Heilongjiang;NA;NA;NA;NA;2008;swine
GQ856660_human_Fujian-Nanping_2005-06-18;GQ856660;mainland China;Fujian;Nanping;NA;NA;NA;2005/06/18;human
GQ856661_human_Fujian-Fuzhou_2005-09-08;GQ856661;mainland China;Fujian;Fuzhou;NA;NA;NA;2005/09/08;human
GQ856662_human_Fujian-Fuan_2007-07-10;GQ856662;mainland China;Fujian;Fu'an;NA;NA;NA;2007/07/10;human
GQ856663_human_Fujian-Fuzhou_2007-07-04;GQ856663;mainland China;Fujian;Fuzhou;NA;NA;NA;2007/07/04;human
GQ856664_human_Fujian-Fuzhou_2007-07-10;GQ856664;mainland China;Fujian;Fuzhou;NA;NA;NA;2007/07/10;human
GQ902058_swine_Thailand_1982;GQ902058;Thailand;NA;NA;NA;NA;NA;1982;swine
GQ902059_human_Thailand_1982;GQ902059;Thailand;NA;NA;NA;NA;NA;1982;human
GQ902060_mosquito_Thailand_1985;GQ902060;Thailand;NA;NA;NA;NA;NA;1985;mosquito
GQ902061_swine_Thailand_1985;GQ902061;Thailand;NA;NA;NA;NA;NA;1985;swine
GQ902062_human_Thailand_1985;GQ902062;Thailand;NA;NA;NA;NA;NA;1985;human
GQ902063_mosquito_Thailand_1982;GQ902063;Thailand;NA;NA;NA;NA;NA;1982;mosquito
